"V1";"V2"
"Will ""Right Direction"" poll at 28.5%+ on September 18?";"Direction of country at 28.5%+ on September 18?"
"Will congressional job approval be at least 15% on September 18?";"Congressional approval at 15+% on September 18?"
"47% or higher";"47+"
"22.0 - 23.9 million";"22.0 - 23.9 million"
"19.9 million or fewer";"19.9- million"
"24.0 - 25.9 million";"24.0 - 25.9 million"
"20.0 - 21.9 million";"20.0 - 21.9 million"
"26.0 million or more";"26.0+ million"
"Will Obama's Gallup approval be 46% or higher for September 22-24?";"Obama's Gallup approval 46+ for September 22-24?"
"Will ""Right Direction"" poll at 29.5%+ on September 25?";"Direction of country at 29.5%+ on September 25?"
"Will congressional job approval be at least 15% on September 25?";"Congressional approval at 15+% on September 25?"
"Will Obama's Gallup approval be 47% or higher for September 29 - October 1?";"Obama's Gallup approval 47+ for September 29 - October 1?"
"Will ""Right Direction"" poll at 28.0%+ on October 2?";"Direction of country at 28%+ on October 2?"
"Will congressional job approval be at least 15% on October 2?";"Congressional approval at 15+% on October 2?"
"Will Kevin McCarthy be the next speaker of the House of Representatives?";"Will McCarthy be the next speaker of the House?"
"Jim Jordan";"Jordan"
"Patrick McHenry";"McHenry"
"Tom Price";"Price"
"Cathy McMorris Rodgers";"Rodgers"
"Pete Roskam";"Roskam"
"Steve Scalise";"Scalise"
"Pete Sessions";"Sessions"
"Will Mitch McConnell announce his resignation as Senate majority leader by year-end?";"Will McConnell resign as majority leader this year?"
"Will Al Gore become a presidential candidate by October 31?";"Will Gore be a candidate by October 31?"
"Will primary polling give Bush at least 10% on October 31?";"Bush polling at 10+% on October 31?"
"Will primary polling give Trump at least 25% on October 31?";"Trump polling at 25+% on October 31?"
"Will primary polling give Carson at least 15% on October 31?";"Carson polling at 15+% on October 31?"
"Will primary polling give Rubio at least 10% on October 31?";"Rubio polling at 10+% on October 31?"
"Will primary polling give Fiorina at least 10% on October 31?";"Fiorina polling at 10+% on October 31?"
"Will primary polling give Clinton at least 40% on October 31?";"Clinton polling at 40+% on October 31?"
"Will primary polling give Sanders at least 25% on October 31?";"Sanders polling at 25+% on October 31?"
"Will primary polling give Biden at least 20% on October 31?";"Biden polling at 20+% on October 31?"
"Will Obama's Gallup approval be 47% or higher for October 6 - 8?";"Obama's Gallup approval 47+ for October 6 - 8?"
"Will ""Right Direction"" poll at 27.0%+ on October 9?";"Direction of country at 27%+ on October 9?"
"Will congressional job approval be at least 15% on October 9?";"Congressional approval at 15+% on October 9?"
"None of the above";"None of the above"
"Angela Merkel";"Merkel"
"Denis Mukwege";"Mukwege"
"Mussie Zerai";"Zerai"
"Novaya Gazeta";"Gazeta"
"Pope Francis";"Pope Francis"
"Article 9 Association";"Article 9"
"Juan Manuel Santos";"Santos"
"Multiple of these";"Multiple of these"
"Will Joe Biden participate in CNN's first-tier Democratic debate?";"Will Biden participate in CNN's first-tier Democratic debate?"
"Will Obama's Gallup approval be 45% or higher for October 13 - 15?";"Obama's Gallup approval 45+ for October 13-15?"
"Will congressional job approval be at least 15% on October 16?";"Congressional approval at 15+% on October 16?"
"Will ""Right Direction"" poll at 26.0%+ on October 16?";"Direction of country at 26%+ on October 16?"
"Lynn Westmoreland";"Westmoreland"
"Jason Chaffetz";"Chaffetz"
"Matt Salmon";"Salmon"
"Ryan Zinke";"Zinke"
"Daniel Webster";"Webster"
"Trey Gowdy";"Gowdy"
"Peter Roskam";"Roskam"
"Newt Gingrinch";"Gingrich"
"Will Obama's Gallup approval be 45% or higher for October 20 - 22?";"Obama's Gallup approval 45+ for October 20-22?"
"Will ""Right Direction"" poll at 27.0%+ on October 23?";"Direction of country at 27%+ on October 23?"
"Will congressional job approval be at least 13% on October 23?";"Congressional approval at 13+% on October 23?"
"Will the debt limit be raised on or before November 3?";"Will the debt limit be raised on or before November 3?"
"Will Jim Webb become a third party presidential candidate this year?";"Webb 3rd party run?"
"Will Obama's Gallup approval be 45% or higher for October 27 - 29?";"Obama's Gallup at 45+ 10/27-29?"
"Will ""Right Direction"" poll at 26.0%+ on October 30?";"Direction of country 26+ on 10/30?"
"Will congressional job approval be at least 12.5% on October 30?";"Congress approval 12.5+ on 10/30?"
"Will Obama's Gallup approval be 47% or higher for November 3 - 5?";"Obama's Gallup at 47+ 11/3-11/5?"
"Will ""Right Direction"" poll at 27.5%+ on November 6?";"Direction of country 27.5+ on 11/6?"
"Will congressional job approval be at least 12.5% on November 6?";"Congress approval 12.5+ on 11/6?"
"Will primary polling give Trump at least 27% on November 30?";"Trump at 27%+ on Nov 30?"
"Will primary polling give Carson at least 22% on November 30?";"Carson at 22%+ on Nov 30?"
"Will primary polling give Rubio at least 10% on November 30?";"Rubio at 10%+ on Nov 30?"
"Will primary polling give Cruz at least 7% on November 30?";"Cruz at 7%+ on Nov 30?"
"Will primary polling give Bush at least 7% on November 30?";"Bush at 7%+ on Nov 30?"
"Will primary polling give Fiorina at least 6% on November 30?";"Fiorina at 6%+ on Nov 30?"
"Will primary polling give Clinton at least 50% on November 30?";"Clinton at 50%+ on Nov 30?"
"Will primary polling give Sanders at least 25% on November 30?";"Sanders at 25%+ on Nov 30?"
"Will Obama's Gallup approval be 49% or higher for November 10 - 12?";"Obama's Gallup at 49+ 11/10-11/12?"
"Will ""Right Direction"" poll at 27%+ on November 13?";"Direction of country 27+ on 11/13?"
"Will congressional job approval be at least 13% on November 13?";"Congress approval 13+ on 11/13?"
"15.0 million or more";"15.0+"
"12.9 million or fewer";"12.9-"
"14.0 - 14.9 million";"14.0 - 14.9"
"13.0 - 13.9 million";"13.0 - 13.9"
"Will FBN moderators ask about the Starbucks holiday cup controversy?";"FBN question on Starbucks?"
"13.9 million or fewer";"13.9-"
"15.0 - 15.9 million";"15.0 - 15.9"
"16.0 - 16.9 million";"16.0 - 16.9"
"17.0 million or more";"17.0+"
"Will Obama's Gallup approval be 47% or higher for November 17 - 19?";"Obama's Gallup at 47+ 11/17-11/19?"
"Will ""Right Direction"" poll at 28.5%+ on November 20?";"Direction of country 28.5+ on 11/20?"
"Will congressional job approval be at least 12.5% on November 20?";"Congress approval 12.5+ on 11/20?"
"Mariano Rajoy";"Rajoy"
"Pedro Sánchez";"Sánchez"
"Alberto Garzón";"Garzón"
"Andrés Herzog";"Herzog"
"Pablo Iglesias";"Iglesias"
"Albert Rivera";"Rivera"
"Unlisted Candidate";"Unlisted"
"Will CBS moderators ask about the University of Missouri?";"CBS question on Mizzou?"
"Will Daniel Scioli be elected president of Argentina?";"Will Scioli be next Argentine president?"
"Will congressional job approval be at least 12.5% on November 27?";"Congress approval 12.5+ on 11/27?"
"Will ""Right Direction"" poll at 28.5%+ on November 27?";"Direction of country 28.5+ on 11/27?"
"Will Obama's Gallup approval be 46% or higher for November 24 - 26?";"Obama's Gallup at 46+ 11/24-11/26?"
"Will Bush drop out before the Iowa caucuses?";"Bush out before Iowa?"
"Will Donald Trump win any Republican primaries or caucuses?";"Will Trump win any primaries or caucuses?"
"Will Congress ratify the Trans-Pacific Partnership by March 31, 2016?";"TPP ratified by Congress by March 31?"
"Will legislation requiring additional vetting of Syrian refugees be enacted by year-end?";"Syrian refugee legislation enacted?"
"Will the federal government shut down on December 14?";"Government shutdown on 12/14?"
"Will Bashar al-Assad remain president of Syria through 2016?";"Will Assad remain in power through 2016?"
"Will Obama's Gallup approval be 44% or higher for December 1 - 3?";"Obama's Gallup at 44+ 12/1-12/3?"
"Will ""Right Direction"" poll at 28.0%+ on December 4?";"Direction of country at 28+ on 12/4?"
"Will congressional job approval be at least 13.0% on December 4?";"Congress approval 13+ on 12/4?"
"Will Turkey invoke NATO's Article 4?";"Will Turkey invoke Article 4?"
"Will primary polling give Clinton at least 55% on December 31?";"Clinton at 55%+ on Dec 31?"
"Will primary polling give Sanders at least 30% on December 31?";"Sanders at 30%+ on Dec 31?"
"Will primary polling give O'Malley at least 5% on December 31?";"O'Malley at 5%+ on Dec 31?"
"Will primary polling give Trump at least 29% on December 31?";"Trump at 29%+ on Dec 31?"
"Will primary polling give Carson at least 20% on December 31?";"Carson at 20%+ on Dec 31?"
"Will primary polling give Rubio at least 13% on December 31?";"Rubio at 13%+ on Dec 31?"
"Will primary polling give Cruz at least 12% on December 31?";"Cruz at 12%+ on Dec 31?"
"Will primary polling give Bush at least 5% on December 31?";"Bush at 5%+ on Dec 31?"
"Will primary polling give Fiorina at least 4% on December 31?";"Fiorina at 4%+ on Dec 31?"
"Will Bernie Sanders win any Democratic primaries or caucuses?";"Will Sanders win any primaries or caucuses?"
"Will a U.S. State Dept. worldwide travel alert be in effect on February 25, 2016?";"Worldwide travel alert extended?"
"Will Republicans have a brokered convention in 2016?";"GOP brokered convention?"
"Will primary polling give Christie at least 3% on December 31?";"Christie at 3%+ on Dec 31?"
"Will primary polling give Kasich at least 3% on December 31?";"Kasich at 3%+ on Dec 31?"
"Will Obama's Gallup approval be 46% or higher for December 8 - 10?";"Obama's Gallup at 46+ 12/8-12/10?"
"Will ""Right Direction"" poll at 28.5%+ on December 11?";"Direction of country at 28.5+ on 12/11?"
"Will congressional job approval be at least 13.0% on December 11?";"Congress approval 13.0+ on 12/11?"
"Will Rahm Emanuel resign as Chicago mayor by March 31?";"Will Rahm resign by 3/31?"
"22.0 million or more";"22.0+"
"20.0 - 21.9 million";"20.0 - 21.9"
"18.0 - 19.9 million";"18.0 - 19.9"
"15.9 million or fewer";"15.9-"
"16.0 - 17.9 million";"16.0 - 17.9"
"Will Rand Paul participate in the first-tier CNN debate?";"Will Paul make the big CNN debate?"
"Will Carly Fiorina participate in the first-tier CNN debate?";"Will Fiorina make the big CNN debate?"
"Will the Obama administration close the gun show loophole this year?";"Will Obama close gun show loophole this year?"
"Will Donald Trump become a third party presidential candidate in 2016?";"Will Trump run as a 3rd party in 2016?"
"Will Obama's Gallup approval be 45% or higher for December 15 - 17?";"Obama's Gallup at 45+ 12/15-12/17?"
"Will ""Right Direction"" poll at 24.5%+ on December 18?";"Direction of country at 24.5+ on 12/18?"
"Will congressional job approval be at least 12.0% on December 18?";"Congress approval 12.0+ on 12/18?"
"Will people on the ""no-fly list"" be banned from buying guns?";"No guns for no-fly list?"
"Will the Supreme Court rule ""one-person, one-vote"" applies only to voters?";"Court to redefine ""one-person, one-vote""?"
"Will the Supreme Court overturn UT Austin's use of racial preferences in admissions?";"Court to nix affirmative action at UT Austin?"
"Will Mitt Romney become a 2016 presidential candidate?";"Will Romney be a candidate in 2016?"
"6.9 million or fewer";"6.9-"
"7.0 - 7.9 million";"7.0 - 7.9"
"8.0 - 8.9 million";"8.0 - 8.9"
"At least 10.0 million";"10.0+"
"9.0 - 9.9 million";"9.0 - 9.9"
"Will Ben Carson become a third party presidential candidate?";"Will Carson run as a 3rd party?"
"Will the federal government shut down on December 17?";"Government shutdown on 12/17?"
"Will CNN moderators ask about the possible government shutdown?";"CNN question on shutdown?"
"Will CNN moderators ask about Trump's proposed ban on Muslims entering the U.S.?";"CNN question on Muslim travel ban?"
"Will CNN moderators ask candidates if they'd support Trump as nominee?";"CNN question on supporting Trump?"
"Will North Korea test a hydrogen bomb before the end of 2016?";"North Korea H-bomb test in 2016?"
"Will a federal minimum wage increase go into effect in 2016?";"Minimum wage hike in 2016?"
"Will Dilma Rousseff remain president of Brazil through 2016?";"Rousseff in office through 2016?"
"Will Vladimir Putin remain president of the Russian Federation through 2016?";"Putin in power through 2016?"
"Helen Keller";"Keller"
"Will Puerto Rico go bankrupt in 2016?";"Puerto Rico bankrupt in 2016?"
"Will legislation strip federal funds from sanctuary cities in 2016?";"Will sanctuary cities lose funding in 2016?"
"Will a federal criminal charge be filed against Hillary Clinton in 2016?";"Will Hillary face charges in 2016?"
"Will Mitch McConnell announce his resignation as Senate majority leader in 2016?";"Will McConnell resign leadership in 2016?"
"Will legislation requiring additional vetting of Syrian refugees be enacted in 2016?";"Syrian refugee vetting in 2016?"
"Will Turkey invoke NATO's Article 4 by March 31?";"Will Turkey invoke Article 4 by March 31?"
